GM (GENERAL MOTORS COMPANY),41.09,-0.76,
Feb 18 2018 @ 16:17 ET,Bid,41.08,Ask,41.09,Size,0x0,Vol,14871775,
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int,
18 Feb 26.00 (GM1816B26-J),0.0,0.0,15.05,15.25,0,73,18 Feb 26.00 (GM1816N26-J),0.54,0.0,0.0,0.03,0,82,
18 Feb 26.00 (GM1816B26-K),0.0,0.0,12.70,17.50,0,73,18 Feb 26.00 (GM1816N26-K),0.0,0.0,0.0,5.00,0,82,
18 Feb 26.00 (GM1816B26-O),0.0,0.0,14.85,15.25,0,73,18 Feb 26.00 (GM1816N26-O),0.0,0.0,0.0,0.03,0,82,
18 Feb 26.00 (GM1816B26-OG),0.0,0.0,15.05,15.25,0,73,18 Feb 26.00 (GM1816N26-OG),0.0,0.0,0.0,0.03,0,82,
18 Feb 26.00 (GM1816B26-P),0.0,0.0,0.0,0.0,0,73,18 Feb 26.00 (GM1816N26-P),0.0,0.0,0.0,0.0,0,82,
18 Feb 26.00 (GM1816B26-S),15.40,0.0,15.05,15.25,0,73,18 Feb 26.00 (GM1816N26-S),0.16,0.0,0.0,0.03,0,82,
18 Feb 26.00 (GM1816B26-X),17.30,0.0,15.05,15.25,0,73,18 Feb 26.00 (GM1816N26-X),0.16,0.0,0.0,0.04,0,82,
18 Feb 26.00 (GM1816B26-Y),15.35,0.0,14.85,15.25,0,73,18 Feb 26.00 (GM1816N26-Y),0.0,0.0,0.0,0.03,0,82,
18 Feb 27.00 (GM1816B27),14.20,0.0,14.05,14.30,0,9,18 Feb 27.00 (GM1816N27),0.02,0.0,0.0,0.03,0,2103,
18 Feb 27.00 (GM1816B27-3),0.0,0.0,14.05,14.30,0,9,18 Feb 27.00 (GM1816N27-3),0.41,0.0,0.0,0.03,0,2103,
18 Feb 27.00 (GM1816B27-4),0.0,0.0,14.05,14.30,0,9,18 Feb 27.00 (GM1816N27-4),0.04,0.0,0.0,0.03,0,2103,
18 Feb 27.00 (GM1816B27-8),9.74,0.0,11.95,16.50,0,9,18 Feb 27.00 (GM1816N27-8),0.41,0.0,0.0,0.27,0,2103,
18 Feb 27.00 (GM1816B27-A),0.0,0.0,0.0,0.0,0,9,18 Feb 27.00 (GM1816N27-A),0.45,0.0,0.0,0.03,0,2103,
18 Feb 27.00 (GM1816B27-B),0.0,0.0,14.05,14.30,0,9,18 Feb 27.00 (GM1816N27-B),0.41,0.0,0.0,0.03,0,2103,
18 Feb 27.00 (GM1816B27-E),0.0,0.0,13.85,14.30,0,9,18 Feb 27.00 (GM1816N27-E),0.41,0.0,0.0,0.03,0,2103,
18 Feb 27.00 (GM1816B27-I),14.20,0.0,14.00,14.30,0,9,18 Feb 27.00 (GM1816N27-I),0.41,0.0,0.0,0.03,0,2103,
18 Feb 27.00 (GM1816B27-J),0.0,0.0,14.05,14.30,0,9,18 Feb 27.00 (GM1816N27-J),0.41,0.0,0.0,0.03,0,2103,
18 Feb 27.00 (GM1816B27-K),0.0,0.0,11.70,16.50,0,9,18 Feb 27.00 (GM1816N27-K),0.41,0.0,0.0,5.00,0,2103,
